2019-05-28 09:39:31,041 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 09:39:31,041 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-05-28 09:39:31,045 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://transformInput
2019-05-28 09:39:31,045 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-05-28 09:39:31,067 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.267 seconds
2019-05-28 09:39:31,067 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.026 seconds
2019-05-28 09:39:59,829 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 09:39:59,831 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 09:39:59,953 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 09:40:00,030 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 09:40:00,063 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://transformInput
2019-05-28 09:40:00,063 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2019-05-28 09:40:00,065 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.237 seconds
2019-05-28 09:40:17,822 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 09:40:17,822 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 09:40:17,948 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 09:40:18,022 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 09:40:18,043 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 0.213 seconds
2019-05-28 09:40:18,043 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.021 seconds
2019-05-28 09:40:34,324 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 09:40:34,326 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 09:40:34,441 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 09:40:34,522 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 09:40:34,546 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://transformInput
2019-05-28 09:40:34,546 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2019-05-28 09:40:34,548 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.224 seconds
2019-05-28 09:40:34,558 | INFO | CamelLogger.java 159 | 1*b*c*d*e
2019-05-28 09:40:39,570 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 09:40:39,570 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-05-28 09:40:39,570 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://transformInput
2019-05-28 09:40:39,570 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-05-28 09:40:39,589 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.266 seconds
2019-05-28 09:40:39,596 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.026 seconds
